player,pitches,total,pitches%,PA,AB,BIP,H,1B,2B,3B,HR,SO,K%,BB,BB%,Whiffs,Swings,BA,xBA,OBP,xOBP,SLG,xSLG,wOBA,xwOBA,Barrels,PV,EV,LA
Michael Harris II,116,1685,6.9,32,30,28,7,4,1,0,2,3,9.4,1,3.1,15,72,.233,.306,.250,.333,.467,.479,.299,.355,2,89.9,86.9,20
Michael Siani,116,1289,9.0,26,25,21,5,5,0,0,0,4,15.4,1,3.8,8,42,.200,.211,.231,.242,.200,.280,.196,.230,1,89.9,84.0,1
Jack Suwinski,115,1114,10.3,18,17,14,2,2,0,0,0,3,16.7,1,5.6,9,58,.118,.203,.167,.247,.118,.229,.136,.218,0,89.4,87.2,15
Jake Bauers,115,1512,7.6,26,23,17,6,4,0,0,2,6,23.1,3,11.5,16,63,.261,.269,.346,.353,.522,.635,.373,.413,2,89.6,89.0,37
Harrison Bader,115,1647,7.0,38,36,32,13,8,1,0,4,4,10.5,2,5.3,15,64,.361,.383,.395,.415,.722,.712,.471,.476,4,89.7,92.4,7
Jonny DeLuca,114,1345,8.5,31,29,26,2,2,0,0,0,3,9.7,2,6.5,9,59,.069,.213,.129,.263,.069,.383,.101,.279,3,89.6,84.1,22
Pete Crow-Armstrong,113,1421,8.0,37,35,29,13,9,2,2,0,6,16.2,2,5.4,16,74,.371,.260,.405,.300,.543,.339,.405,.283,0,89.5,88.3,15
Francisco Alvarez,113,1331,8.5,24,20,18,10,6,3,0,1,2,8.3,4,16.7,9,42,.500,.334,.583,.445,.800,.541,.577,.423,1,89.1,97.0,-2
Ben Rortvedt,113,1357,8.3,28,27,19,5,4,1,0,0,8,28.6,0,0.0,13,56,.185,.188,.214,.217,.222,.215,.196,.197,0,90.0,86.0,7
Fernando Tatis Jr.,113,1551,7.3,22,20,14,4,2,1,0,1,6,27.3,1,4.5,16,56,.200,.266,.273,.333,.400,.478,.294,.350,1,88.6,93.0,10
Jose Siri,112,1788,6.3,31,31,18,4,3,1,0,0,13,41.9,0,0.0,33,60,.129,.155,.129,.155,.161,.291,.126,.187,1,89.7,91.4,20
Anthony Rizzo,112,1432,7.8,30,27,23,9,5,3,0,1,4,13.3,2,6.7,5,49,.333,.263,.400,.337,.556,.392,.411,.322,1,89.0,89.0,15
Nick Gonzales,112,1371,8.2,33,31,29,10,8,1,0,1,2,6.1,2,6.1,15,72,.323,.283,.364,.326,.452,.429,.356,.327,1,89.4,86.4,17
Enrique Hernández,112,1518,7.4,25,25,19,6,4,0,0,2,6,24.0,0,0.0,11,50,.240,.180,.240,.180,.480,.283,.305,.196,2,89.6,88.8,17
Santiago Espinal,111,1505,7.4,27,26,25,9,8,0,0,1,1,3.7,1,3.7,6,53,.346,.319,.370,.344,.462,.408,.363,.329,0,89.7,81.6,6
Brandon Lowe,111,1624,6.8,33,31,21,8,4,0,1,3,10,30.3,2,6.1,21,65,.258,.311,.303,.353,.613,.575,.383,.393,3,90.1,88.4,11
Andy Pages,110,1719,6.4,22,20,17,7,5,0,1,1,3,13.6,2,9.1,15,57,.350,.286,.409,.351,.600,.489,.428,.361,2,90.6,90.2,17
Vidal Bruján,110,1055,10.4,29,29,21,5,2,1,0,2,8,27.6,0,0.0,19,58,.172,.213,.172,.213,.414,.380,.245,.250,2,89.7,84.9,9
Xavier Edwards,110,1185,9.3,30,29,26,10,6,2,2,0,4,13.3,0,0.0,13,65,.345,.222,.333,.219,.552,.277,.366,.212,0,89.5,89.7,6
Carlos Correa,109,1375,7.9,25,23,20,7,5,2,0,0,5,20.0,0,0.0,10,50,.304,.322,.280,.300,.391,.515,.277,.332,1,91.5,94.5,8
Lars Nootbaar,109,1659,6.6,33,28,27,10,8,1,0,1,2,6.1,4,12.1,7,43,.357,.363,.424,.429,.500,.611,.397,.434,4,89.2,96.7,8
Kyle Tucker,109,1349,8.1,25,22,13,3,2,0,0,1,9,36.0,3,12.0,12,44,.136,.215,.240,.309,.273,.317,.235,.284,0,89.4,90.1,14
Korey Lee,108,1429,7.6,24,24,18,7,6,0,0,1,6,25.0,0,0.0,20,57,.292,.261,.292,.261,.417,.475,.306,.311,2,89.3,85.9,20
Eddie Rosario,108,1187,9.1,27,23,16,5,3,1,0,1,8,29.6,3,11.1,15,49,.217,.202,.296,.287,.391,.374,.297,.289,2,89.0,95.7,6
