player,pitches,total,pitches%,PA,AB,BIP,H,1B,2B,3B,HR,SO,K%,BB,BB%,Whiffs,Swings,BA,xBA,OBP,xOBP,SLG,xSLG,wOBA,xwOBA,Barrels,PV,EV,LA
Jacob Wilson,72,349,20.6,23,20,20,5,3,1,1,0,1,4.3,2,8.7,3,37,.250,.248,.304,.303,.400,.291,.299,.264,0,90.0,86.5,14
Aaron Schunk,72,371,19.4,20,20,18,8,8,0,0,0,2,10.0,0,0.0,4,46,.400,.320,.400,.320,.400,.361,.353,.299,0,89.2,85.9,1
Austin Barnes,71,593,12.0,22,20,16,7,4,2,0,1,4,18.2,2,9.1,7,37,.350,.321,.409,.383,.600,.570,.430,.407,2,89.6,91.5,15
Estevan Florial,70,450,15.6,16,13,8,1,0,1,0,0,5,31.3,2,12.5,13,33,.077,.150,.250,.310,.154,.192,.210,.251,0,89.7,85.8,13
Miguel Sanó,69,402,17.2,18,15,12,5,4,1,0,0,3,16.7,3,16.7,7,29,.333,.428,.444,.524,.400,.678,.380,.508,2,88.7,102.2,9
Pavin Smith,68,631,10.8,17,15,13,5,3,2,0,0,2,11.8,2,11.8,3,26,.333,.321,.412,.401,.467,.468,.384,.381,1,89.9,82.3,11
Heston Kjerstad,67,423,15.8,13,12,9,3,1,0,0,2,3,23.1,1,7.7,10,39,.250,.247,.308,.305,.750,.538,.436,.354,2,90.1,88.9,9
Miles Mastrobuoni,67,381,17.6,19,17,15,4,3,1,0,0,2,10.5,2,10.5,4,27,.235,.294,.316,.369,.294,.400,.278,.344,0,89.8,92.7,2
Alika Williams,67,336,19.9,16,15,12,3,0,3,0,0,3,18.8,1,6.3,3,29,.200,.217,.250,.266,.400,.348,.278,.268,1,89.7,89.7,21
Pablo Reyes,66,252,26.2,13,12,10,3,2,1,0,0,2,15.4,1,7.7,5,31,.250,.305,.308,.359,.333,.513,.285,.375,1,90.1,95.0,20
Nathan Lukes,66,356,18.5,12,10,9,1,1,0,0,0,1,8.3,2,16.7,3,34,.100,.185,.250,.321,.100,.225,.188,.263,0,90.3,87.3,22
Will Wagner,66,364,18.1,14,14,13,3,0,2,0,1,1,7.1,0,0.0,4,26,.214,.280,.214,.280,.571,.548,.326,.346,2,89.7,87.1,19
Esteury Ruiz,65,246,26.4,17,11,11,3,2,0,1,0,2,11.8,3,17.6,5,26,.273,.242,.412,.427,.455,.360,.361,.396,0,89.9,90.9,18
Brian Serven,65,258,25.2,15,14,11,2,0,2,0,0,3,20.0,1,6.7,6,30,.143,.118,.200,.177,.286,.242,.213,.186,0,89.9,93.1,46
Daniel Vogelbach,64,362,17.7,14,13,11,5,1,3,0,1,2,14.3,1,7.1,3,20,.385,.442,.429,.482,.846,.903,.527,.573,2,90.4,99.4,12
Bobby Dalbec,64,413,15.5,9,9,6,1,1,0,0,0,3,33.3,0,0.0,12,29,.111,.085,.111,.085,.111,.142,.098,.097,0,90.2,82.9,6
Jacob Hurtubise,64,281,22.8,11,8,6,2,2,0,0,0,2,18.2,3,27.3,3,24,.250,.247,.455,.453,.250,.289,.348,.361,0,90.0,78.8,1
Trevor Story,64,373,17.2,19,17,11,4,1,2,0,1,6,31.6,2,10.5,14,38,.235,.136,.316,.227,.529,.230,.359,.210,1,90.4,90.1,23
Jacob Amaya,63,301,20.9,17,15,12,4,3,1,0,0,3,17.6,2,11.8,5,23,.267,.251,.353,.339,.333,.286,.310,.287,0,89.7,89.1,4
Tucker Barnhart,62,375,16.5,10,9,6,4,2,2,0,0,3,30.0,1,10.0,4,22,.444,.245,.500,.321,.667,.384,.496,.310,1,89.7,86.1,11
