player,pitches,total,pitches%,PA,AB,BIP,H,1B,2B,3B,HR,SO,K%,BB,BB%,Whiffs,Swings,BA,xBA,OBP,xOBP,SLG,xSLG,wOBA,xwOBA,Barrels,PV,EV,LA
Tomás Nido,127,506,25.1,31,30,20,5,1,2,0,2,10,32.3,1,3.2,24,80,.167,.210,.194,.236,.433,.487,.264,.302,5,94.6,92.2,24
Brooks Baldwin,126,426,29.6,37,35,19,5,5,0,0,0,16,43.2,2,5.4,18,67,.143,.161,.189,.207,.143,.234,.156,.198,0,94.7,87.6,43
Danny Mendick,125,540,23.1,35,33,25,3,1,2,0,0,8,22.9,1,2.9,22,70,.091,.183,.143,.230,.152,.301,.137,.233,1,94.8,84.3,25
Miles Mastrobuoni,124,381,32.5,34,31,27,7,5,2,0,0,5,14.7,2,5.9,10,55,.226,.250,.265,.289,.290,.379,.244,.288,1,94.9,89.8,19
Trevor Story,123,373,33.0,32,27,18,6,6,0,0,0,9,28.1,4,12.5,12,55,.222,.185,.344,.313,.222,.252,.274,.268,0,94.9,86.5,17
Niko Kavadas,122,465,26.2,27,26,14,2,2,0,0,0,12,44.4,1,3.7,15,52,.077,.115,.111,.148,.077,.181,.091,.147,0,94.6,91.3,32
Oliver Dunn,122,418,29.2,38,33,21,11,8,1,1,1,12,31.6,3,7.9,22,67,.333,.263,.421,.360,.515,.521,.407,.379,3,94.7,92.3,12
Zack Short,122,391,31.2,32,25,18,2,1,1,0,0,7,21.9,7,21.9,14,58,.080,.202,.281,.377,.120,.407,.218,.351,2,94.7,90.5,26
Nathan Lukes,120,356,33.7,29,25,22,8,5,3,0,0,5,17.2,2,6.9,12,65,.320,.225,.345,.263,.440,.273,.329,.236,0,94.8,90.6,16
Sean Bouchard,119,431,27.6,24,19,12,4,4,0,0,0,7,29.2,4,16.7,14,50,.211,.138,.375,.317,.211,.171,.292,.252,0,94.8,88.6,11
Daniel Vogelbach,116,362,32.0,28,25,19,6,4,2,0,0,6,21.4,3,10.7,2,35,.240,.292,.321,.367,.320,.486,.289,.368,2,94.7,90.0,10
Curt Casali,115,476,24.2,36,30,22,8,7,1,0,0,8,22.2,5,13.9,7,50,.267,.237,.389,.364,.300,.344,.322,.324,1,94.8,88.4,30
Will Wagner,115,364,31.6,25,23,20,6,6,0,0,0,3,12.0,2,8.0,9,57,.261,.309,.320,.364,.261,.377,.267,.330,0,95.1,92.2,1
Christian Bethancourt,115,516,22.3,29,27,20,9,5,3,0,1,7,24.1,1,3.4,22,73,.333,.283,.379,.333,.556,.483,.401,.352,1,94.7,92.0,5
Darell Hernaiz,115,510,22.5,29,23,19,3,3,0,0,0,4,13.8,6,20.7,10,53,.130,.166,.310,.339,.130,.197,.234,.268,0,94.7,83.9,10
Derek Hill,114,609,18.7,31,30,19,6,4,2,0,0,11,35.5,0,0.0,16,59,.200,.269,.226,.292,.267,.362,.218,.287,1,95.0,89.8,5
Luis Torrens,114,510,22.4,26,23,17,6,4,2,0,0,6,23.1,2,7.7,9,54,.261,.302,.346,.383,.348,.433,.313,.358,1,95.3,96.5,12
Curtis Mead,114,471,24.2,24,21,17,7,7,0,0,0,5,20.8,1,4.2,14,66,.333,.307,.375,.354,.333,.357,.316,.316,0,94.6,90.8,7
Dairon Blanco,114,459,24.8,33,29,23,7,6,1,0,0,6,18.2,3,9.1,12,57,.241,.166,.313,.244,.276,.248,.269,.224,1,95.2,86.1,5
Estevan Florial,112,450,24.9,37,32,17,2,1,0,0,1,15,40.5,5,13.5,27,64,.063,.109,.189,.229,.156,.196,.172,.204,1,94.5,88.4,23
Andrew Knizner,111,360,30.8,25,23,13,4,4,0,0,0,10,40.0,1,4.0,22,60,.174,.194,.240,.258,.174,.264,.197,.237,1,94.8,90.4,9
Luis Urías,109,452,24.1,33,29,17,3,2,0,0,1,12,36.4,1,3.0,14,50,.103,.181,.212,.280,.207,.334,.202,.277,1,94.9,88.9,18
Dillon Dingler,108,331,32.6,32,30,17,5,3,1,0,1,13,40.6,2,6.3,16,58,.167,.233,.219,.281,.300,.464,.229,.318,2,94.8,93.9,6
Vaughn Grissom,106,443,23.9,27,22,19,8,6,2,0,0,3,11.1,4,14.8,5,48,.364,.315,.481,.442,.455,.470,.418,.402,2,94.9,92.2,13
Andrés Chaparro,106,525,20.2,29,26,21,4,2,1,0,1,5,17.2,1,3.4,11,58,.154,.165,.241,.252,.308,.281,.248,.242,0,94.8,88.2,23
Jacob Wilson,106,349,30.4,35,29,28,13,11,1,1,0,1,2.9,5,14.3,1,58,.448,.317,.543,.434,.552,.388,.477,.371,0,95.1,89.8,9
Joshua Palacios,105,307,34.2,26,20,19,5,3,0,0,2,1,3.8,5,19.2,3,44,.250,.303,.423,.477,.550,.630,.420,.467,2,94.5,95.1,5
Tucker Barnhart,105,375,28.0,25,19,15,5,5,0,0,0,4,16.0,6,24.0,5,37,.263,.228,.440,.414,.263,.272,.342,.333,0,94.9,82.1,7
Bobby Dalbec,104,413,25.2,22,19,9,5,4,0,0,1,10,45.5,2,9.1,24,54,.263,.185,.364,.296,.421,.237,.349,.254,0,94.6,82.0,10
Yuli Gurriel,102,281,36.3,22,22,18,5,5,0,0,0,4,18.2,0,0.0,5,54,.227,.282,.227,.282,.227,.371,.200,.284,1,94.9,88.9,3
Dane Myers,102,425,24.0,26,23,13,6,4,2,0,0,11,42.3,1,3.8,15,47,.261,.235,.308,.306,.348,.305,.286,.290,2,94.6,89.2,11
Ji Hwan Bae,101,313,32.3,26,23,12,2,1,1,0,0,11,42.3,3,11.5,20,52,.087,.135,.192,.235,.130,.267,.162,.230,2,95.1,90.6,11
Zach DeLoach,100,298,33.6,25,20,13,2,2,0,0,0,7,28.0,5,20.0,15,57,.100,.182,.280,.346,.100,.231,.208,.282,0,94.9,91.2,0
Ben Gamel,99,381,26.0,28,24,18,6,4,2,0,0,6,21.4,4,14.3,8,37,.250,.349,.357,.442,.333,.502,.314,.411,3,94.9,90.4,16
Aaron Schunk,99,371,26.7,19,17,10,3,1,1,0,1,7,36.8,2,10.5,18,55,.176,.170,.263,.257,.412,.401,.293,.284,1,94.8,90.6,9
Bryan Ramos,99,418,23.7,22,20,10,1,1,0,0,0,10,45.5,2,9.1,20,48,.050,.109,.136,.190,.050,.162,.103,.170,0,94.6,91.3,13
Jace Jung,99,386,25.6,25,18,13,4,3,1,0,0,5,20.0,7,28.0,12,47,.222,.259,.440,.467,.278,.341,.349,.379,1,94.9,83.8,2
Ali Sánchez,98,338,29.0,21,20,15,3,3,0,0,0,5,23.8,0,0.0,6,46,.150,.224,.190,.261,.150,.255,.160,.234,0,94.7,88.3,6
Jerar Encarnacion,97,490,19.8,18,17,11,1,0,1,0,0,6,33.3,1,5.6,15,44,.059,.168,.111,.215,.118,.246,.108,.206,1,95.0,99.0,8
Leo Rivas,97,371,26.1,22,19,15,4,4,0,0,0,4,18.2,3,13.6,4,40,.211,.251,.318,.353,.211,.302,.254,.301,0,94.7,83.0,2
Jon Berti,96,271,35.4,27,24,19,6,6,0,0,0,5,18.5,3,11.1,6,44,.250,.257,.333,.340,.250,.325,.273,.301,0,94.6,78.9,16
Mason McCoy,96,232,41.4,23,20,15,5,3,2,0,0,5,21.7,3,13.0,13,39,.250,.269,.348,.365,.350,.325,.314,.313,0,95.0,83.3,4
Adrian Del Castillo,96,336,28.6,28,25,19,8,4,2,0,2,6,21.4,3,10.7,15,54,.320,.305,.393,.379,.640,.525,.436,.389,2,94.8,87.4,25
Nick Sogard,96,348,27.6,24,19,16,8,6,2,0,0,4,16.7,4,16.7,9,51,.421,.321,.500,.432,.526,.473,.440,.395,1,94.6,90.9,19
Nasim Nuñez,95,327,29.1,20,18,14,2,2,0,0,0,4,20.0,2,10.0,11,47,.111,.201,.200,.285,.111,.291,.157,.261,0,95.0,82.4,-3
Miguel Sanó,94,402,23.4,22,17,11,5,2,1,0,2,7,31.8,2,9.1,14,41,.294,.260,.409,.383,.706,.597,.452,.404,2,94.6,98.8,23
Alek Thomas,94,372,25.3,19,17,13,4,1,2,0,1,4,21.1,2,10.5,9,40,.235,.270,.316,.347,.529,.706,.359,.433,3,94.8,95.9,14
Trey Sweeney,94,448,21.0,30,28,23,8,7,1,0,0,5,16.7,2,6.7,8,50,.286,.290,.333,.337,.321,.394,.293,.321,0,94.8,94.4,18
Trey Cabbage,90,336,26.8,26,25,15,5,1,4,0,0,10,38.5,1,3.8,11,48,.200,.210,.231,.240,.360,.409,.253,.276,3,94.7,97.0,6
Griffin Conine,89,334,26.6,18,17,12,8,6,2,0,0,5,27.8,1,5.6,10,50,.471,.290,.500,.331,.588,.335,.472,.297,0,94.8,87.9,9
Jack López,88,274,32.1,12,12,8,2,2,0,0,0,4,33.3,0,0.0,13,48,.167,.092,.167,.092,.167,.100,.147,.083,0,94.8,79.0,7
Dylan Crews,88,520,16.9,27,24,21,8,4,2,0,2,3,11.1,3,11.1,5,38,.333,.334,.407,.408,.667,.775,.452,.487,4,94.7,90.9,5
Eric Wagaman,87,269,32.3,20,19,13,6,2,3,0,1,6,30.0,1,5.0,9,47,.316,.329,.350,.362,.632,.643,.413,.421,2,94.7,97.7,14
Bligh Madris,86,275,31.3,21,18,15,4,3,1,0,0,3,14.3,3,14.3,12,44,.222,.220,.333,.331,.278,.395,.284,.321,2,94.9,89.2,21
Weston Wilson,85,379,22.4,30,29,26,11,5,4,1,1,3,10.0,1,3.3,6,47,.379,.304,.400,.327,.690,.486,.459,.347,2,95.0,89.8,14
Casey Schmitt,83,374,22.2,33,31,25,7,5,2,0,0,6,18.2,2,6.1,8,52,.226,.223,.273,.270,.290,.317,.251,.259,0,94.6,93.0,19
Ryan Bliss,81,259,31.3,19,18,14,3,1,0,1,1,4,21.1,1,5.3,11,43,.167,.278,.211,.316,.444,.629,.274,.396,2,95.0,92.1,8
Bryce Johnson,81,263,30.8,20,17,13,5,5,0,0,0,4,20.0,3,15.0,7,39,.294,.295,.400,.401,.294,.357,.324,.345,0,94.7,87.8,21
Chuckie Robinson,80,298,26.8,20,17,13,2,2,0,0,0,4,20.0,2,10.0,13,51,.118,.120,.250,.252,.118,.169,.193,.210,0,95.2,79.0,-5
Alika Williams,79,336,23.5,28,27,24,8,7,0,1,0,3,10.7,1,3.6,6,49,.296,.267,.321,.293,.370,.371,.302,.286,1,94.8,89.2,17
Jasson Domínguez,79,278,28.4,14,8,4,1,1,0,0,0,4,28.6,6,42.9,9,36,.125,.129,.500,.502,.125,.141,.358,.363,0,94.8,85.0,19
Kyren Paris,78,234,33.3,24,20,15,3,2,1,0,0,5,20.8,4,16.7,11,43,.150,.225,.292,.355,.200,.324,.241,.309,1,94.7,87.3,8
Omar Narváez,77,269,28.6,19,18,14,2,1,1,0,0,4,21.1,1,5.3,6,38,.111,.128,.158,.174,.167,.181,.149,.161,0,94.7,87.1,31
Jacob Amaya,76,301,25.2,19,18,7,1,1,0,0,0,11,57.9,1,5.3,7,28,.056,.116,.105,.162,.056,.181,.083,.157,1,94.7,87.7,0
