player,pitches,total,pitches%,PA,AB,BIP,H,1B,2B,3B,HR,SO,K%,BB,BB%,Whiffs,Swings,BA,xBA,OBP,xOBP,SLG,xSLG,wOBA,xwOBA,Barrels,PV,EV,LA
Matt Olson,108,2947,3.7,26,25,17,7,5,2,0,0,8,30.8,1,3.8,17,62,.280,.243,.308,.273,.360,.305,.293,.256,1,99.0,92.7,-3
Shohei Ohtani,108,2838,3.8,28,24,14,11,10,0,0,1,10,35.7,3,10.7,20,52,.458,.345,.519,.418,.583,.535,.479,.410,4,99.2,99.1,4
Will Smith,106,2271,4.7,26,21,10,5,4,0,1,0,11,42.3,2,7.7,14,49,.238,.180,.385,.338,.333,.353,.333,.317,1,99.0,96.8,26
Teoscar Hernández,103,2608,3.9,24,22,18,7,6,0,0,1,4,16.7,2,8.3,16,52,.318,.214,.375,.279,.455,.357,.363,.281,1,99.2,85.9,0
Brandon Nimmo,102,2747,3.7,19,16,6,2,1,1,0,0,10,52.6,3,15.8,11,42,.125,.170,.263,.301,.188,.220,.221,.252,0,99.1,96.2,12
Willy Adames,102,2733,3.7,27,24,15,8,6,1,0,1,9,33.3,3,11.1,20,57,.333,.247,.407,.331,.500,.436,.395,.332,1,99.3,86.5,18
Seiya Suzuki,99,2509,3.9,20,14,9,4,3,0,0,1,5,25.0,6,30.0,6,36,.286,.236,.500,.465,.500,.662,.441,.465,3,99.3,90.1,18
Freddie Freeman,94,2522,3.7,30,28,21,6,5,1,0,0,7,23.3,2,6.7,8,58,.214,.212,.267,.265,.250,.272,.235,.241,1,99.0,90.3,3
Ian Happ,93,2721,3.4,23,18,13,8,4,2,0,2,5,21.7,5,21.7,12,43,.444,.391,.565,.524,.889,.868,.590,.563,3,99.1,95.9,19
Francisco Lindor,92,2713,3.4,25,22,14,6,4,2,0,0,8,32.0,2,8.0,16,53,.273,.226,.360,.319,.364,.391,.325,.314,2,99.2,92.9,17
Masyn Winn,92,2558,3.6,22,20,19,5,5,0,0,0,1,4.5,2,9.1,3,57,.250,.224,.318,.294,.250,.249,.263,.251,0,99.1,85.8,-4
Jesse Winker,91,2063,4.4,25,21,18,6,4,1,0,1,4,16.0,2,8.0,6,46,.286,.318,.360,.390,.476,.451,.357,.366,1,99.1,88.8,0
Paul Goldschmidt,91,2719,3.3,26,24,14,2,1,0,0,1,10,38.5,2,7.7,15,49,.083,.166,.154,.230,.208,.337,.166,.247,2,98.9,93.5,13
William Contreras,91,2677,3.4,18,17,13,5,4,0,0,1,4,22.2,1,5.6,9,45,.294,.240,.333,.282,.471,.421,.348,.306,1,99.0,91.3,-15
Bryce Harper,90,2469,3.6,13,12,7,4,2,1,0,1,5,38.5,1,7.7,14,45,.333,.347,.385,.397,.667,.683,.443,.453,1,99.1,92.9,12
J.D. Martinez,90,2052,4.4,16,15,6,0,0,0,0,0,9,56.3,0,0.0,14,44,.000,.124,.063,.179,.000,.171,.045,.162,0,99.2,92.1,11
Bryan Reynolds,88,2604,3.4,20,15,9,4,3,1,0,0,6,30.0,5,25.0,9,35,.267,.216,.450,.412,.333,.330,.367,.346,0,99.2,96.8,6
Pete Alonso,88,2780,3.2,25,24,17,4,2,1,0,1,7,28.0,1,4.0,12,52,.167,.218,.200,.249,.333,.393,.230,.277,1,99.0,88.7,25
Nolan Arenado,88,2452,3.6,21,19,17,5,4,1,0,0,2,9.5,2,9.5,6,40,.263,.247,.333,.318,.316,.285,.293,.273,0,99.0,90.9,18
Vladimir Guerrero Jr.,88,2602,3.4,21,19,10,3,1,2,0,0,9,42.9,2,9.5,12,41,.158,.182,.238,.264,.263,.234,.227,.231,0,99.4,91.6,-4
