player,pitches,total,pitches%,PA,AB,BIP,H,1B,2B,3B,HR,SO,K%,BB,BB%,Whiffs,Swings,BA,xBA,OBP,xOBP,SLG,xSLG,wOBA,xwOBA,Barrels,PV,EV,LA
Matt Wallner,88,1030,8.5,23,20,9,4,2,0,0,2,11,47.8,2,8.7,7,33,.200,.185,.304,.291,.500,.498,.346,.336,2,93.5,94.1,15
Sam Hilliard,86,648,13.3,20,20,14,5,3,2,0,0,6,30.0,0,0.0,6,41,.250,.258,.250,.258,.350,.415,.258,.282,2,92.2,98.0,11
José Tena,86,673,12.8,22,22,18,3,3,0,0,0,4,18.2,0,0.0,5,45,.136,.233,.136,.233,.136,.334,.120,.244,1,92.5,90.1,-9
Nick Martini,85,625,13.6,33,28,25,7,5,1,1,0,5,15.2,3,9.1,2,46,.250,.208,.303,.289,.357,.272,.282,.259,0,92.8,85.0,9
Evan Carter,85,648,13.1,25,23,17,2,2,0,0,0,6,24.0,1,4.0,5,35,.087,.167,.160,.233,.087,.257,.127,.222,1,92.8,81.7,4
Curtis Mead,82,471,17.4,23,21,13,4,3,1,0,0,8,34.8,1,4.3,7,37,.190,.141,.261,.216,.238,.182,.231,.190,0,92.7,90.9,3
Danny Mendick,82,540,15.2,22,22,18,6,2,4,0,0,4,18.2,0,0.0,13,43,.273,.271,.273,.271,.455,.355,.308,.269,1,92.7,80.8,9
Mason McCoy,82,232,35.3,20,17,13,6,4,2,0,0,4,20.0,3,15.0,6,33,.353,.310,.450,.414,.471,.354,.405,.350,0,93.9,80.8,0
Victor Scott II,81,568,14.3,33,30,24,6,4,2,0,0,6,18.2,2,6.1,5,44,.200,.182,.273,.257,.267,.287,.246,.246,1,94.4,86.3,-7
Ali Sánchez,80,338,23.7,19,18,18,4,3,1,0,0,0,0.0,0,0.0,1,34,.222,.261,.263,.300,.278,.406,.243,.309,1,93.3,89.6,-1
